,Closenes
318,Closenes Centrality Node 15 = 0.3913043478260869
319,Closenes Centrality Node 10 = 0.22883295194508008
320,Closenes Centrality Node 16 = 0.3826530612244898
321,Closenes Centrality Node 10 = 0.3181818181818182
322,Closenes Centrality Node 14 = 0.18
323,Closenes Centrality Node 13 = 0.1978021978021978
324,Closenes Centrality Node 12 = 0.16666666666666666
325,Closenes Centrality Node 21 = 0.0
326,Closenes Centrality Node 10 = 0.21176470588235294
327,Closenes Centrality Node 19 = 0.3141025641025641
328,Closenes Centrality Node 12 = 0.2689075630252101
329,Closenes Centrality Node 13 = 0.21333333333333335
330,Closenes Centrality Node 16 = 0.26666666666666666
331,Closenes Centrality Node 13 = 0.1978021978021978
332,Closenes Centrality Node 7 = 0.0
333,Closenes Centrality Node 17 = 0.1925133689839572
334,Closenes Centrality Node 6 = 0.0
335,Closenes Centrality Node 19 = 0.2608695652173913
336,Closenes Centrality Node 6 = 0.0
337,Closenes Centrality Node 6 = 0.3333333333333333
338,Closenes Centrality Node 8 = 0.08333333333333333
339,Closenes Centrality Node 15 = 0.26021505376344084
340,Closenes Centrality Node 8 = 0.0
341,Closenes Centrality Node 16 = 0.23333333333333334
342,Closenes Centrality Node 19 = 0.30624999999999997
343,Closenes Centrality Node 12 = 0.25396825396825395
344,Closenes Centrality Node 15 = 0.328804347826087
345,Closenes Centrality Node 12 = 0.2512820512820513
346,Closenes Centrality Node 18 = 0.058823529411764705
347,Closenes Centrality Node 11 = 0.3616071428571429
348,Closenes Centrality Node 10 = 0.17582417582417584
349,Closenes Centrality Node 4 = 0.19047619047619047
350,Closenes Centrality Node 12 = 0.20454545454545456
351,Closenes Centrality Node 10 = 0.17857142857142858
352,Closenes Centrality Node 23 = 0.07142857142857142
353,Closenes Centrality Node 14 = 0.0
354,Closenes Centrality Node 18 = 0.26913875598086123
355,Closenes Centrality Node 18 = 0.05797101449275362
356,Closenes Centrality Node 8 = 0.20779220779220778
357,Closenes Centrality Node 9 = 0.50625
358,Closenes Centrality Node 12 = 0.22685185185185186
359,Closenes Centrality Node 19 = 0.253125
360,Closenes Centrality Node 20 = 0.20703933747412007
361,Closenes Centrality Node 16 = 0.5
362,Closenes Centrality Node 11 = 0.2596153846153846
363,Closenes Centrality Node 15 = 0.33137254901960783
364,Closenes Centrality Node 8 = 0.0
365,Closenes Centrality Node 14 = 0.20242914979757085
366,Closenes Centrality Node 9 = 0.75
367,Closenes Centrality Node 11 = 0.32142857142857145
368,Closenes Centrality Node 18 = 0.3307493540051679
369,Closenes Centrality Node 11 = 0.23557692307692307
370,Closenes Centrality Node 10 = 0.25
371,Closenes Centrality Node 27 = 0.19474393530997303
372,Closenes Centrality Node 16 = 0.3428571428571428
373,Closenes Centrality Node 10 = 0.41666666666666663
374,Closenes Centrality Node 14 = 0.24545454545454545
375,Closenes Centrality Node 13 = 0.34615384615384615
376,Closenes Centrality Node 17 = 0.15170278637770895
377,Closenes Centrality Node 9 = 0.09920634920634921
378,Closenes Centrality Node 9 = 0.3516483516483517
379,Closenes Centrality Node 18 = 0.3235294117647059
380,Closenes Centrality Node 17 = 0.5208333333333334
381,Closenes Centrality Node 13 = 0.22807017543859648
382,Closenes Centrality Node 3 = 0.2571428571428571
383,Closenes Centrality Node 12 = 0.0
384,Closenes Centrality Node 12 = 0.0
385,Closenes Centrality Node 11 = 0.22010869565217392
386,Closenes Centrality Node 15 = 0.18315018315018314
387,Closenes Centrality Node 14 = 0.2557544757033248
388,Closenes Centrality Node 10 = 0.16666666666666666
389,Closenes Centrality Node 17 = 0.28027681660899656
390,Closenes Centrality Node 14 = 0.38431372549019605
391,Closenes Centrality Node 6 = 0.0
392,Closenes Centrality Node 14 = 0.11764705882352941
393,Closenes Centrality Node 8 = 0.0
394,Closenes Centrality Node 14 = 0.5909090909090909
395,Closenes Centrality Node 5 = 0.2571428571428571
396,Closenes Centrality Node 20 = 0.0
397,Closenes Centrality Node 11 = 0.25
398,Closenes Centrality Node 17 = 0.09999999999999999
399,Closenes Centrality Node 16 = 0.421505376344086
400,Closenes Centrality Node 9 = 0.4450549450549451
401,Closenes Centrality Node 20 = 0.10714285714285714
402,Closenes Centrality Node 16 = 0.226890756302521
403,Closenes Centrality Node 10 = 0.2571428571428571
404,Closenes Centrality Node 9 = 0.2692307692307692
405,Closenes Centrality Node 16 = 0.06666666666666667
406,Closenes Centrality Node 2 = 0.0
407,Closenes Centrality Node 15 = 0.23703703703703702
408,Closenes Centrality Node 20 = 0.27489481065918653
409,Closenes Centrality Node 9 = 0.47647058823529415
410,Closenes Centrality Node 13 = 0.25098039215686274
411,Closenes Centrality Node 11 = 0.5050505050505051
412,Closenes Centrality Node 12 = 0.0
413,Closenes Centrality Node 15 = 0.32010582010582017
414,Closenes Centrality Node 15 = 0.5555555555555556
415,Closenes Centrality Node 20 = 0.20631578947368423
416,Closenes Centrality Node 12 = 0.40909090909090906
417,Closenes Centrality Node 10 = 0.11538461538461539
418,Closenes Centrality Node 17 = 0.06060606060606061
419,Closenes Centrality Node 19 = 0.40834845735027225
420,Closenes Centrality Node 10 = 0.421875
421,Closenes Centrality Node 17 = 0.1832579185520362
422,Closenes Centrality Node 13 = 0.4
423,Closenes Centrality Node 17 = 0.19230769230769232
424,Closenes Centrality Node 8 = 0.2916666666666667
425,Closenes Centrality Node 13 = 0.29239766081871343
426,Closenes Centrality Node 16 = 0.4563894523326572
427,Closenes Centrality Node 9 = 0.08888888888888888
428,Closenes Centrality Node 12 = 0.19140625
429,Closenes Centrality Node 20 = 0.4402439024390244
430,Closenes Centrality Node 22 = 0.1937799043062201
431,Closenes Centrality Node 5 = 0.1636363636363636
432,Closenes Centrality Node 8 = 0.0
433,Closenes Centrality Node 17 = 0.32051282051282054
434,Closenes Centrality Node 7 = 0.21818181818181817
435,Closenes Centrality Node 6 = 0.16666666666666666
436,Closenes Centrality Node 18 = 0.0
437,Closenes Centrality Node 9 = 0.08888888888888888
438,Closenes Centrality Node 14 = 0.23703703703703702
439,Closenes Centrality Node 17 = 0.3684210526315789
440,Closenes Centrality Node 12 = 0.18115942028985507
441,Closenes Centrality Node 17 = 0.23586744639376217
442,Closenes Centrality Node 5 = 0.0
443,Closenes Centrality Node 15 = 0.3
444,Closenes Centrality Node 13 = 0.3516483516483517
445,Closenes Centrality Node 12 = 0.0
446,Closenes Centrality Node 16 = 0.0
447,Closenes Centrality Node 13 = 0.22499999999999998
448,Closenes Centrality Node 6 = 0.2727272727272727
449,Closenes Centrality Node 10 = 0.20779220779220778
450,Closenes Centrality Node 19 = 0.175
451,Closenes Centrality Node 13 = 0.1736111111111111
452,Closenes Centrality Node 9 = 0.06666666666666667
453,Closenes Centrality Node 17 = 0.26666666666666666
454,Closenes Centrality Node 13 = 0.0784313725490196
455,Closenes Centrality Node 12 = 0.3
456,Closenes Centrality Node 11 = 0.1981424148606811
457,Closenes Centrality Node 16 = 0.2025
458,Closenes Centrality Node 11 = 0.4548872180451128
459,Closenes Centrality Node 12 = 0.2689075630252101
460,Closenes Centrality Node 16 = 0.3223684210526316
461,Closenes Centrality Node 9 = 0.3176470588235294
462,Closenes Centrality Node 25 = 0.0857142857142857
463,Closenes Centrality Node 15 = 0.2664473684210526
464,Closenes Centrality Node 13 = 0.5029761904761905
465,Closenes Centrality Node 15 = 0.2688888888888889
466,Closenes Centrality Node 7 = 0.0
467,Closenes Centrality Node 9 = 0.5785714285714286
468,Closenes Centrality Node 13 = 0.42857142857142855
469,Closenes Centrality Node 18 = 0.5785714285714286
470,Closenes Centrality Node 21 = 0.25148809523809523
471,Closenes Centrality Node 12 = 0.24
472,Closenes Centrality Node 16 = 0.4592391304347826
473,Closenes Centrality Node 14 = 0.4355555555555556
474,Closenes Centrality Node 14 = 0.20416666666666666
475,Closenes Centrality Node 12 = 0.22916666666666666
476,Closenes Centrality Node 16 = 0.16666666666666666
477,Closenes Centrality Node 9 = 0.08888888888888888
478,Closenes Centrality Node 19 = 0.25884732052578363
479,Closenes Centrality Node 9 = 0.3272727272727272
480,Closenes Centrality Node 7 = 0.23376623376623373
481,Closenes Centrality Node 5 = 0.14814814814814814
482,Closenes Centrality Node 8 = 0.0
483,Closenes Centrality Node 7 = 0.0
484,Closenes Centrality Node 6 = 0.1636363636363636
485,Closenes Centrality Node 5 = 0.22499999999999998
486,Closenes Centrality Node 14 = 0.27692307692307694
487,Closenes Centrality Node 11 = 0.1607142857142857
488,Closenes Centrality Node 13 = 0.2664473684210526
489,Closenes Centrality Node 10 = 0.16326530612244897
490,Closenes Centrality Node 17 = 0.047619047619047616
